date,event_type,location,kia,wia,economic_damage,summary,source_urls
"22 Aug 26","Checkpoint Attack","Panjgur, Balochistan","1SF","9SF","","One FC personnel Lance Naik Faisal was killed and nine others were injured in a militant attack on a checkpost in Panjgur.","https://thebalochistanpost.net/2026/08/balochistan-mastung-attack-followed-by-curfew-as-bridge-blasts-and-panjgur-assault-highlight-security-challenges/ | https://x.com/zarrar_11PK/status/2091099586605568449?s=20"
"22 Aug 26","Targeted Killing","Peshawar, Khyber Pakhtunkhwa","1SF","0","","One CTD personnel named Humayun was killed in a targeted attack in Badhbhir, Peshawar.","https://www.dawn.com/news/2024890 | https://www.facebook.com/share/p/1bi9AePLVN/"
"22 Aug 26","Intel Based Operation","Dir Upper, Khyber Pakhtunkhwa","3M","0","","Three TTP militants were killed in an intelligence-based operation (IBO) in Dir Upper.","https://x.com/War_Analysts/status/2091071619317821748?s=20"
"22 Aug 26","Armed Clash","Khyber, Khyber Pakhtunkhwa","1M","0","","One ISKP militant was killed in armed clashes in Bara.","https://t.me/Insurgent_Zone/3877"
"22 Aug 26","Targeted Killing","South Waziristan, Khyber Pakhtunkhwa","1IRR","0","","A peace committee member, Muhammad Khalid, was killed in a targeted attack in Wana, South Waziristan.","https://www.dawn.com/news/2024750 | https://t.me/Insurgent_Zone/3881"
"22 Aug 26","IED Explosion","Mastung, Balochistan","4SF","8SF","","Four Frontier Corps personnel were killed and eight injured in an IED blast in Khadkocha, Mastung.","https://www.geo.tv/latest/678575-three-killed-in-mastungs-khad-kocha-explosion-police | https://www.facebook.com/share/1DVRCb7AVR/"
"21 Aug 26","Targeted Killing","Bajaur, Khyber Pakhtunkhwa","1SF","0","","A police constable named Rehmatullah was killed in a targeted killing incident in the Inayat Kaley area of Mamund, Bajaur.","https://www.dawn.com/news/2024416 | https://www.facebook.com/share/p/1KEwncvtuu/"
"21 Aug 26","Targeted Killing","South Waziristan, Khyber Pakhtunkhwa","0","0","","Sher Muhammad, a member of the ""good Taliban,"" was killed in a targeted killing in Makin, South Waziristan.","https://t.me/Insurgent_Zone/3853"
"21 Aug 26","Targeted Killing","Kech, Balochistan","0","1SF","","One police constable was injured in a firing attack in Tump, Kech district.","https://www.facebook.com/share/p/186sNWXaCP/"
"20 Aug 26","Drone Strike","Panjgur, Balochistan","5M","0","","Five BLA militants were killed in a drone strike in Panjgur.","https://x.com/Hamza_Lashari18/status/2090396684756885775?s=20"
"20 Aug 26","Targeted Killing","Mardan, Khyber Pakhtunkhwa","1SF","0","","Police ASI Dost Muhammad was killed in a targeted killing in Takhtbhai, Mardan.","https://www.facebook.com/share/p/1DeXvE1nqF/"
"20 Aug 26","Drone Strike","South Waziristan, Khyber Pakhtunkhwa","0","1SF","","A police constable was injured in a drone strike in Wana, South Waziristan.","https://x.com/LalWazir19/status/2090472346574635016?s=20"
"19 Aug 26","Intel Based Operation","Bannu, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Umar Ali, also known as Umari Ashna, was killed in an Intelligence-Based Operation in Janikhel Bannu.","https://x.com/Hunterop091/status/2090102396844167652"
"19 Aug 26","Grenade Attack","Quetta, Balochistan","0","1SF","","A police constable was injured in a grenade attack on a police station in Quetta.","https://x.com/ParaSF007/status/2090146879199928589"
"19 Aug 26","Intel Based Operation","Panjgur, Balochistan","5M","0","","During an intelligence-based operation in Kuli Suran, Panjgur, security forces killed 5 baloch separatist militants and recovered weapons, IEDs, and vehicles.","https://x.com/Al_Muqatil786/status/2090171343593680983"
"18 Aug 26","Intel Based Operation","Lakki Marwat, Khyber Pakhtunkhwa","2M","0","","Two TTP militants were killed in Lakki Marwat.","https://t.me/Insurgent_Zone/3781"
"18 Aug 26","Suicide Attack","Bannu, Khyber Pakhtunkhwa","1M","2SF","","Two soldiers were injured in a suicide bombing in Janikhel, Bannu.","https://x.com/IftikharFirdous/status/2089629333010956341?s=20"
"18 Aug 26","Targeted Killing","Quetta, Balochistan","0","0","","Three ANA soldiers and one peace militia member were killed, and one peace militia member was injured in Quetta.","https://x.com/Info_Balochistn/status/2089739202812584192?s=20"
"18 Aug 26","Armed Clash","South Waziristan, Khyber Pakhtunkhwa","1M","0","","TTP commander Shaheen Mehsud was killed in clashes in South Waziristan.","https://x.com/Pakilad3/status/2089853994734596188"
"18 Aug 26","Armed Clash","Bajaur, Khyber Pakhtunkhwa","1M","0","","One TTP militant named Abdullah was killed in armed clashes in Bajaur.","https://t.me/Insurgent_Zone/3790"
"18 Aug 26","IED Explosion","Kalat, Balochistan","1SF","5SF","","One FC personnel, Lance Naik Imdadullah, was killed and three others were injured in an IED blast in Kalat.","https://www.facebook.com/share/p/1ByDARh8FR/"
"18 Aug 26","Armed Clash","South Waziristan, Khyber Pakhtunkhwa","2M","0","","Two IMP militants were killed in armed clashes in South Waziristan.","https://t.me/Insurgent_Zone/3826"
"18 Aug 26","IED Explosion","North Waziristan, Khyber Pakhtunkhwa","2SF","1SF","","Two FC personnel were killed and one was seriously injured in an IED blast in Shawal, North Waziristan.","https://www.facebook.com/share/p/1H8C87FCNZ/"
"17 Aug 26","Ambush","Chagai, Balochistan","3SF","6SF","","Three army personnel were killed and six were injured in an ambush in Dalbandin.","https://www.facebook.com/share/p/1DvvzH453v/"
"17 Aug 26","Targeted Killing","Peshawar, Khyber Pakhtunkhwa","1SF","0","","Police Constable Ibrahim was killed in a targeted attack in Peshawar.","https://x.com/ParaSF007/status/2089257212476858592?s=20"
"17 Aug 26","Ambush","Bannu, Khyber Pakhtunkhwa","0","3SF","","Three members of the Sorani police peace committee were injured in an ambush in Domel, Bannu.","https://t.me/Insurgent_Zone/3766"
"16 Aug 26","Intel Based Operation","Mastung, Balochistan","5M","0","","Five BLF militants were killed during an Intelligence-Based Operation in Mastung.","https://x.com/Al_Muqatil786/status/2089367100229910779?s=20"
"16 Aug 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","1SF","0","","A police constable named Saifullah was killed in a targeted killing incident in Bannu.","https://www.facebook.com/share/p/1DH3H1irkx/"
"16 Aug 26","Targeted Killing","Bajaur, Khyber Pakhtunkhwa","1SF","1SF","","One CTD personnel Muhammad Rehman was killed in a targeted attack in Salarzai, Bajaur.","https://www.facebook.com/share/p/1FDqNNbwRy/"
"16 Aug 26","Intel Based Operation","Washuk, Balochistan","2M","0","","Two BLF militants were killed in Basima, Balochistan.","https://x.com/Pakilad3/status/2089339765845836235?s=20"
"16 Aug 26","Armed Clash","South Waziristan, Khyber Pakhtunkhwa","1M","0","","One TTP militant was killed during clashes in Shakai, South Waziristan.","https://t.me/Insurgent_Zone/3762"
"15 Aug 26","Sniper Attack","North Waziristan, Khyber Pakhtunkhwa","1SF","0","","An FC personnel, Hasan Ali Shah, was killed in a sniper attack on a military post in Zarmaj Mela, Shawal, North Waziristan. The Tehrik-e-Taliban Pakistan (TTP) claimed responsibility.","https://x.com/Pakilad3/status/2088560023844872500?s=20"
"15 Aug 26","Drone Strike","Kurram, Khyber Pakhtunkhwa","0","2SF","","Two FC personnel, including a Subedar, were injured in a drone strike on a post in Alizai, Lower Kurram.","https://www.facebook.com/share/p/1P6RTsDQKZ/"
"15 Aug 26","Intel Based Operation","Kharan, Balochistan","7M","0","","Seven BLF militants were killed in an intelligence-based operation (IBO) in Kharan.","https://t.me/Insurgent_Zone/3726"
"14 Aug 26","Armed Clash","Sheikhupura, Punjab","2M","1M","","Two militants were killed and one injured in Sheikhupura.","https://arynews.tv/lahore-police-attack-suspects-killed-in-sheikhupura-encounter | https://x.com/i/status/2088014583827231131"
"14 Aug 26","Armed Clash","Bajaur, Khyber Pakhtunkhwa","1SF","2SF","","A police constable named Zahir Shah was killed and two others were injured during an attack on a checkpost in Barang, Bajaur.","https://www.facebook.com/share/p/1HSbdJB1Xn/"
"14 Aug 26","Ambush","Mastung, Balochistan","0","6SF","","Three anti-terrorism force personnel were injured when the convoy of Balochistan Interior Minister Mir Zia Langov was ambushed in Khadkocha, Mastung.","https://www.facebook.com/share/p/1Au3yUma7i/"
"14 Aug 26","Targeted Killing","Killa Abdullah, Balochistan","0","2SF","","Two police personnel were injured when armed motorcyclists opened fire on the Tuta Ada police station in Qilla Abdullah.","https://t.me/Insurgent_Zone/3662"
"14 Aug 26","Drone Strike","Karak, Khyber Pakhtunkhwa","0","3SF","","Three police personnel were injured in a drone strike on Gurguri Police Station in Karak district.","https://tribune.com.pk/story/2623925/anti-drone-guns-foil-karak-terror-attacks | https://x.com/i/status/2088133194549997929"
"14 Aug 26","Targeted Killing","Tank, Khyber Pakhtunkhwa","2IRR","0","","Two brothers of former Peace Militia head Nasrullah Bettani were killed by unknown assailants in Jandola, Tank.","https://www.facebook.com/share/p/1DF2Y58gEq/"
"14 Aug 26","Sniper Attack","Kurram, Khyber Pakhtunkhwa","1SF","0","","Lance Naik Adnan Bettani was killed in a sniper attack on a checkpost in Central Kurram, Kurram district.","https://www.facebook.com/share/p/1JgaTYGBvy/?mibextid=wwXIfr"
"14 Aug 26","Armed Clash","Hangu, Khyber Pakhtunkhwa","1M","0","","A TTP militant identified as Abu Bakr was killed in clashes in Hangu.","https://t.me/Insurgent_Zone/3705"
"14 Aug 26","IED Explosion","Turbat, Balochistan","2SF","9SF","","One Army Havildar was killed and nine other personnel were injured in an IED attack in Turbat.","https://www.facebook.com/share/p/1D65T8WWDy/"
"13 Aug 26","Targeted Killing","Lahore, Punjab","1SF","3SF","","A police party was attacked by militants in Nawa Kot, Lahore, resulting in four police personnel being injured. Jamaat-ul-Ahrar (JuA) claimed responsibility for the attack.","https://english.aaj.tv/news/330467786/two-police-officers-martyred-in-separate-lahore-shootings | https://x.com/i/status/2087969336325714159"
"13 Aug 26","Targeted Killing","Charsadda, Khyber Pakhtunkhwa","1SF","0","","Elite force constable Ziaullah was killed in a targeted killing in Charsadda.","https://leadpakistan.com.pk/news/elite-force-official-killed-in-charsadda-firing/ | https://t.me/Insurgent_Zone/3625"
"13 Aug 26","Targeted Killing","Lahore, Punjab","2SF","0","","Two police officers, Sub-Inspector Adeel and Constable Asad, deployed at Lari Adda Police Station, were killed in a targeted killing by unknown individuals in the Badami Bagh area of Lahore. The suspects fled the scene after the attack.","https://tribune.com.pk/story/2623737/two-police-personnel-martyred-in-firing-in-lahores-badami-bagh"
"13 Aug 26","Drone Strike","South Waziristan, Khyber Pakhtunkhwa","1SF","0","","Major Saad Ibrahim, who was injured in a drone strike on Sipla Too Check Post on 25 December 2025in Serwekai, South Waziristan, has succumbed to his injuries.","https://x.com/i/status/2087908170530210298"
"13 Aug 26","Armed Clash","Bannu, Khyber Pakhtunkhwa","3M","6SF","","Six police personnel were injured in armed clashes in Domel Bannu, Khyber Pakhtunkhwa. Three militants were killed during the incident.","https://www.facebook.com/share/v/1ESSvo6xUT/"
"13 Aug 26","Targeted Killing","Quetta, Balochistan","1IRR","0","","One former Afghan national army personnel and peace committee member was killed and seven others injured in Quetta.","https://www.facebook.com/share/p/1Bja5UerLg/"
"13 Aug 26","Drone Strike","North Waziristan, Khyber Pakhtunkhwa","0","2SF","","Two FC personnel were injured in a drone strike on a checkpoint of 241 Wing Badar Rifles in Shewa, North Waziristan.","https://t.me/Insurgent_Zone/3681"
"12 Aug 26","Armed Clash","Khuzdar, Balochistan","1SF","2SF","","One Frontier Corps (FC) personnel was killed and two others were injured in armed clashes in Wadh, Balochistan.","https://x.com/Pakilad3/status/2087603885414244841?s=20"
"12 Aug 26","Armed Clash","Surab, Balochistan","0","2SF","","Two army personnel were injured during an Intelligence-Based Operation (IBO) in Surab.","https://x.com/OfficialDGISPR/status/2087530654171045919?s=20"
"12 Aug 26","Ambush","North Waziristan, Khyber Pakhtunkhwa","1SF","2SF","","One FC personnel, Ajmal Khan, was killed and two others were injured in an ambush in Shewa, North Waziristan.","https://t.me/Insurgent_Zone/3598"
"12 Aug 26","Targeted Killing","Pishin, Balochistan","1SF","0","","An Army personnel named Sajid Khan Tareen was shot dead in Pishin.","https://x.com/Pakilad3/status/2087520002606064003?s=20"
"12 Aug 26","Ambush","Dera Ismail Khan, Khyber Pakhtunkhwa","0","2SF","","Two Motorway Police personnel were injured when their vehicle was ambushed in Kulachi, Dera Ismail Khan.","https://x.com/IsmaeelMehsud/status/2087522417472151862?s=20"
"12 Aug 26","Ambush","Kalat, Balochistan","3SF","4SF","","Three FC personnel were killed and four others injured in an ambush in Kalat, Balochistan.","https://x.com/Pakilad3/status/2087511715546112219?s=20"
"12 Aug 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","1SF","0","","A Frontier Corps personnel, Burhanuddin, was killed in a targeted attack in Domel, Bannu.","https://x.com/NUQTA31/status/2087601114434715789?s=20"
"12 Aug 26","Armed Clash","Dera Ismail Khan, Khyber Pakhtunkhwa","1M","0","","A TTP militant was killed in the Kohi Bahara area of Dera Ismail Khan.","https://x.com/zarrar_11PK/status/2087586262555480390?s=20"
"11 Aug 26","Intel Based Operation","Khuzdar, Balochistan","5M","0","","Five BLA militants were killed in an Intelligence-Based Operation (IBO) in Khuzdar.","https://x.com/Al_Muqatil786/status/2087443533384815042?s=20"
"11 Aug 26","Sniper Attack","Panjgur, Balochistan","1SF","0","","One Frontier Corps personnel, identified as Jail from 137 Wing, was killed in a sniper attack in Panjgur.","https://www.facebook.com/share/p/19VV2Rm6YR/"
"11 Aug 26","Armed Clash","Bannu, Khyber Pakhtunkhwa","2M","0","","Two IMP militants were killed during an intelligence-based operation in the Jani Khel area of Bannu district.","https://x.com/Pakilad3/status/2087127162277036428?s=20"
"11 Aug 26","Armed Clash","Rawalpindi, Punjab","1M","1SF","","One army personnel was injured and one militant was killed during armed clashes in Rawalpindi.","https://x.com/Pakilad3/status/2087231637369344485?s=20"
"11 Aug 26","Rocket Attack","Kech, Balochistan","1IRR","0","","One member of a pro-state death squad was killed and five others were injured in a rocket attack on a residence in Bulaida, Kech.","https://t.me/Insurgent_Zone/3554"
"10 Aug 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","1SF","0","","A police constable, Anwarullah, was shot dead by militants in Bakakhel, Bannu.","https://www.facebook.com/share/p/1bZJ6VYsMg/"
"10 Aug 26","Targeted Killing","Lakki Marwat, Khyber Pakhtunkhwa","1SF","0","","Sepoy Ehsan Ratanzai, a member of the Badarga Force, was killed in a targeted killing in Lakki Marwat.","https://www.facebook.com/share/p/1EedGyhH5U/"
"10 Aug 26","Targeted Killing","Bajaur, Khyber Pakhtunkhwa","1IRR","0","","An individual identified as Zahoor, a member of the Pro-State Peace Committee, was killed in his residence in Kohi, Salarzai, Bajaur, after unidentified assailants opened fire. IS-KP claimed responsibility for the incident.","https://t.me/Insurgent_Zone/3517"
"10 Aug 26","Encounter","Bannu, Khyber Pakhtunkhwa","1M","0","","One militant was killed in an encounter in Miryan Bannu.","https://www.facebook.com/share/v/1DsRRbAyJr/"
"10 Aug 26","Sniper Attack","North Waziristan, Khyber Pakhtunkhwa","1SF","0","","A Frontier Corps personnel, Hussain from Karak, was killed in a sniper attack in Spinwam, North Waziristan.","https://t.me/Insurgent_Zone/3530"
"09 Aug 26","Drone Strike","Kurram, Khyber Pakhtunkhwa","0","5SF","","Five army personnel were injured in a drone strike on a military post in Parachinar, Upper Kurram.","https://t.me/Insurgent_Zone/3487?single"
"09 Aug 26","Targeted Killing","Kalat, Balochistan","1IRR","0","","A member of the Shafiq Mengal-led peace committee was killed in Kalat.","https://t.me/Insurgent_Zone/3482"
"09 Aug 26","IED Explosion","North Waziristan, Khyber Pakhtunkhwa","2SF","2SF","","An IED explosion in Dossali, North Waziristan, killed two FC personnel and injured two others.","https://x.com/i/status/2086523267842740279"
"09 Aug 26","Intel Based Operation","Panjgur, Balochistan","5M","0","","Five BLA militants were killed in an intelligence-based operation in Panjgur.","https://x.com/i/status/2086703322157785156"
"09 Aug 26","Ambush","South Waziristan, Khyber Pakhtunkhwa","1SF","2SF","","One Army personnel was killed and two others were injured in an ambush in South Waziristan.","https://x.com/LalWazir19/status/2086497622282617193?s=20"
"09 Aug 26","Armed Clash","North Waziristan, Khyber Pakhtunkhwa","1M","0","","An IMP militant named Zakarya was killed in Dossali, North Waziristan.","https://x.com/InsurgentZone_/status/2087187393640051097?s=20"
"09 Aug 26","Drone Strike","Dir Lower, Khyber Pakhtunkhwa","1M","0","","A TTP militant was killed in a drone strike in Lower Dir.","https://t.me/Insurgent_Zone/3483"
"09 Aug 26","Ambush","Lakki Marwat, Khyber Pakhtunkhwa","1SF","1SF","","One Police Constable was killed and another injured in an ambush on a police rider squad in Lakki Marwat.","https://www.facebook.com/share/p/19S9obKJry/"
"08 Aug 26","Intel Based Operation","Kech, Balochistan","2M","0","","Two BLF militants were killed in Buleda Kech.","https://t.me/Insurgent_Zone/3495"
"08 Aug 26","IED Explosion","Bajaur, Khyber Pakhtunkhwa","0","1SF","","A Police Constable was seriously injured in an IED attack in Bajaur.","https://www.facebook.com/sanaullahtvofficial/posts/pfbid0ETU2TUqSdBbt2yk1aZGz9yKujTAor6tMDtAuFxc6EizmAXjVaVKHaNVAHzHNkrnCl"
"07 Aug 26","Checkpoint Attack","Sibi, Balochistan","1SF","0","","A Police Constable Abdur Rasheed Abro was killed in a militant attack on a police checkpoint in Sibbi.","https://quettavoice.com/2026/08/07/bolan-terror-attack-balochistan-police-constable-martyred-in-armed-assault-on-dosa-cross-checkpost/ | https://t.me/Insurgent_Zone/3434"
"07 Aug 26","Intel Based Operation","Hangu, Khyber Pakhtunkhwa","1SF
/
4M","2SF
/
2M","","One Captain Hamza was killed and two FC personnel were injured in an armed clash in Thal Hangu, which also resulted in the deaths of four militants.","https://www.geo.tv/latest/676673-captain-martyred-seven-terrorists-eliminated-in-hangu-ibo-ispr | https://www.facebook.com/myounas.chughtai/posts/pfbid02iduNc9fFL6znkLzjme2CSKmoygfxXNBNDKN68dbakiF1EJHaUSymMMoUnNv5Vzn6l"
"07 Aug 26","Sniper Attack","North Waziristan, Khyber Pakhtunkhwa","1SF","0","","An army personnel was killed in a sniper attack in Ghulam Khan area of North Waziristan.","https://www.facebook.com/100091786874042/posts/pfbid0uRa1bh5MEQVMoyBckSxEVcqJFnKeCPfvzcb2bqBHse8zj6KFyQMbZtidANq9mFHBl/?mibextid=CDWPTG"
"07 Aug 26","Drone Strike","Panjgur, Balochistan","6M","0","","Six BLF militants were killed in a drone strike in Panjgur.","https://t.me/Insurgent_Zone/3469"
"06 Aug 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","1SF","0","","A police constable from CTD, Noor Alam, was killed in a targeted killing in Bannu.","https://www.dawn.com/news/2021076 | https://t.me/Insurgent_Zone/3412"
"06 Aug 26","Intel Based Operation","Lakki Marwat, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Arifullah was killed during an intelligence-based operation in Lakki Marwat.","https://www.facebook.com/share/1By4RkohAU/"
"06 Aug 26","Ambush","Dera Bugti, Balochistan","1SF","3SF","","One FC Naik Nasir Khan was killed and three others injured in an ambush on a convoy in Dera Bugti.","https://x.com/i/status/2085473446499385815"
"06 Aug 26","Drone Strike","Mastung, Balochistan","6M","0","","Six BLA militants were killed in a drone strike in Mastung.","https://www.brecorder.com/news/40433682/security-forces-kill-12-terrorists-in-balochistan | https://x.com/i/status/2085951777191723412"
"06 Aug 26","Drone Strike","Bannu, Khyber Pakhtunkhwa","1M","0","","A TTP militant named Jameedullah was killed in a drone strike in Bannu.","https://t.me/Insurgent_Zone/3449"
"05 Aug 26","Targeted Killing","Peshawar, Khyber Pakhtunkhwa","1SF","0","","A Police Constable Mehran was killed in a targeted attack in Peshawar.","https://www.urdupoint.com/en/pakistan/police-constable-shot-dead-by-unidentified-as-2232042.html | https://t.me/Insurgent_Zone/3396"
"05 Aug 26","Checkpoint Attack","Dir Lower, Khyber Pakhtunkhwa","1SF
/
1M","6SF","","An FC personnel, Nasir Iqbal, was killed and six others were injured in an attack on a checkpost in Dir Lower. One militant was also killed.","https://x.com/i/status/2085243256003248403"
"05 Aug 26","Armed Clash","South Waziristan, Khyber Pakhtunkhwa","1M","0","","A TTP militant was killed in armed clashes in Azam Warsak, South Waziristan.","https://x.com/i/status/2085252299237040262"
"05 Aug 26","Drone Strike","Washuk, Balochistan","6M","0","","Six BLF militants were killed in a drone strike in Washuk.","https://www.urdupoint.com/en/pakistan/police-constable-shot-dead-by-unidentified-as-2232042.html | https://x.com/i/status/2085459718634680474"
"04 Aug 26","Armed Clash","Bajaur, Khyber Pakhtunkhwa","1M","0","","A TTP militant identified as Muhammad Irfan was killed in Bajaur.","https://t.me/Insurgent_Zone/3411"
"04 Aug 26","Targeted Killing","Karachi, Sindh","1SF","0","","A police constable was killed in a targeted killing incident in East Karachi.","https://www.pakistantoday.com.pk/2026/08/04/cop-martyred-in-armed-attack-on-karachi-superhighway | https://www.facebook.com/share/p/1HLFg8XVKJ/"
"04 Aug 26","IED Explosion","Khyber, Khyber Pakhtunkhwa","0","3SF","","A Lieutenant Colonel and two SSG commandoes were injured in an IED blast in Khyber.","https://x.com/War_Analysts/status/2084679380941586702?s=20 | https://www.facebook.com/pakmilitarythings/videos/lt-col-shahid-alis-unbreakable-spirit-%EF%B8%8F/2084074008848295/"
"03 Aug 26","Targeted Killing","Mastung, Balochistan","1SF","0","","Police Constable Ehsanullah was shot dead by unknown assailants in Mastung.","https://www.facebook.com/share/p/1Bz9nwao5w/"
"03 Aug 26","IED Explosion","South Waziristan, Khyber Pakhtunkhwa","1IRR","0","","Pro-state good Taliban commander Mufti Jan Mir Mastikhel was killed in an IED blast in Wana, South Waziristan.","https://t.me/Insurgent_Zone/3356"
"03 Aug 26","Intel Based Operation","Khyber, Khyber Pakhtunkhwa","1M","0","","One militant was killed in an IBO in Khyber.","https://x.com/Al_Muqatil786/status/2084293908847272076?s=20"
"03 Aug 26","Armed Clash","Awaran, Balochistan","1M","0","","A BLF commander was killed in armed clashes in Awaran.","https://x.com/PakDefence_/status/2084289095203733599?s=20"
"03 Aug 26","Drone Strike","North Waziristan, Khyber Pakhtunkhwa","1M","0","","TTP commander Amjad alias Asim Dawar was killed in a drone strike in Mir Ali, North Waziristan.","https://t.me/Insurgent_Zone/3373"
"03 Aug 26","Drone Strike","Harnai, Balochistan","1M","3M","","A BLA militant was killed and three others were injured in a drone strike in Harnai.","https://t.me/Insurgent_Zone/3381"
"03 Aug 26","Ambush","Chagai, Balochistan","0","4SF","","1 DSP and 3 police personnel were injured in an ambush in Dalbandin.","https://x.com/Pakilad3/status/2084491380944978290?s=20"
"02 Aug 26","IED Explosion","Peshawar, Khyber Pakhtunkhwa","0","2SF","","Two police personnel were injured when their vehicle was hit by an IED explosion in Peshawar.","https://tribune.com.pk/story/2621735/two-cops-injured-in-peshawar-ied-blast-1 | https://www.facebook.com/share/p/14prY1SCHEu/"
"02 Aug 26","Armed Clash","Kharan, Balochistan","2M","0","","Two BLF militants were killed in Kharan.","https://x.com/i/status/2083759754707395065"
"02 Aug 26","Suicide Attack","Swat, Khyber Pakhtunkhwa","7SF
/
1M","15SF","","Five police personnel were killed and fifteen were injured in a suicide bombing in Kabal, Swat.","https://www.aljazeera.com/news/2026/8/2/suicide-bomber-kills-14-outside-police-station-in-pakistans-swat | https://x.com/i/status/2083970100466684051"
"02 Aug 26","Targeted Killing","Mardan, Khyber Pakhtunkhwa","1SF","0","","Police officer Muhammad Sohail was killed in a targeted attack in Takht Bhai, Mardan.","https://t.me/Insurgent_Zone/3311"
"02 Aug 26","Intel Based Operation","Bannu, Khyber Pakhtunkhwa","1M","0","","An alleged IMP militant named Rehmat was killed in Bakakhel, Bannu.","https://t.me/Insurgent_Zone/3297"
"02 Aug 26","Intel Based Operation","North Waziristan, Khyber Pakhtunkhwa","2M","0","","Two IMP militants were killed in an IBO operation in Datta Khel, North Waziristan.","https://x.com/TKCkhyber/status/2083815156958871958?s=20"
"02 Aug 26","Drone Strike","Hangu, Khyber Pakhtunkhwa","1M","0","","TTP commander Amir Muawiya was killed in Hangu district, Khyber Pakhtunkhwa.","https://www.dawn.com/news/2020144"
"01 Aug 26","Drone Strike","North Waziristan, Khyber Pakhtunkhwa","1SF","1SF","","A drone strike on a checkpost in Razmak, North Waziristan killed Major Ihsan Ilahi and injured Sepoy Zeeshan.","https://www.dawn.com/news/2019936 | https://www.facebook.com/share/p/1DQ6TKvhGd/"
"01 Aug 26","Armed Clash","Bannu, Khyber Pakhtunkhwa","1M","0","","A TTP militant identified as Sarhadi Muhajir was killed in armed clashes in Bannu.","https://t.me/Insurgent_Zone/3264"
"31 Jul 26","Intel Based Operation","Panjgur, Balochistan","1M","0","","One BLA militant, Salman Bangalzai, was killed during an intelligence-based operation in Panjgur.","https://x.com/behram_91khan/status/2083268381516648751?s=20"
"31 Jul 26","Ambush","Dera Ismail Khan, Khyber Pakhtunkhwa","2SF","0","","Two police personnel, including an ASI, were killed in an ambush by militants in Dera Ismail Khan.","https://www.dawn.com/news/2019712 | https://www.facebook.com/share/1EK5KiKHpD/"
"31 Jul 26","Drone Strike","Bannu, Khyber Pakhtunkhwa","0","0","","Five peace committee members were injured in a drone strike on a hujra in Bannu.","https://x.com/TKCkhyber/status/2083121007536341232?s=20"
"31 Jul 26","Intel Based Operation","Bajaur, Khyber Pakhtunkhwa","1M","0","","One TTP militant was killed in Mamund, Bajaur during an armed clash.","https://t.me/Insurgent_Zone/3252?single"
"31 Jul 26","Intel Based Operation","Bannu, Khyber Pakhtunkhwa","2M","0","","Two militant commanders, Niyaz minerallah and Surat, were killed in an intelligence-based operation in Bakakhel, Bannu.","https://t.me/Insurgent_Zone/3251"
"31 Jul 26","IED Explosion","Dera Bugti, Balochistan","2SF","3SF","","An IED attack in Dera Bugti killed two Frontier Corps personnel and injured three others.","https://www.facebook.com/share/p/1DH6WNTKbr/"
"31 Jul 26","Ambush","Khuzdar, Balochistan","3SF
/
1M","3SF","","An ambush in the Zeedi area of Khuzdar resulted in the deaths of three security personnel, including one SSG and two FC personnel, and injured three others, while one BLA militant was killed.","https://t.me/Insurgent_Zone/3258"
"30 Jul 26","Intel Based Operation","Kech, Balochistan","1SF
/
2M","3M","","Two BLF militants were killed and three others injured in Buleda, Kech.","https://x.com/i/status/2083028302013587877"
"30 Jul 26","Checkpoint Attack","Quetta, Balochistan","7SF
/
2M","6SF","","Five FC personnel were killed and six injured in an attack on FC checkposts in Hanna Urak, Quetta.","https://thebalochistanpost.net/2026/07/quetta-armed-fighters-overrun-two-fc-posts-13-personnel-reportedly-killed/ | https://x.com/IftikharFirdous/status/2083024187787206780?s=20"
"29 Jul 26","IED Explosion","Kachhi, Balochistan","1SF","3SF","","One FC NCO was killed and three others were injured in anIED blast in Kachhi district.","https://t.me/Insurgent_Zone/3143"
"29 Jul 26","Ambush","Khuzdar, Balochistan","8SF","0","","Eight army personnel were killed in an ambush in Khuzdar, Balochistan.","https://x.com/IftikharFirdous/status/2082546707821363353?s=20"
"29 Jul 26","Targeted Killing","Kech, Balochistan","3IRR","0","","Three pro-state militia members were killed in a targeted attack in Turbat.","https://t.me/Insurgent_Zone/3131"
"29 Jul 26","Grenade Attack","Karachi, Sindh","0","2SF","","Two CTD officials were injured in a grenade attack on a police vehicle in Gulshan-e-Iqbal, Karachi.","https://arynews.tv/karachi-grenade-attack-ctd-officials-injured-in-gulshan-e-iqbal | https://t.me/Insurgent_Zone/3179"
"29 Jul 26","Intel Based Operation","Chagai, Balochistan","3M","0","","Three BLA militants were killed in Dalbandin.","https://t.me/Insurgent_Zone/3174"
"29 Jul 26","Ambush","Hangu, Khyber Pakhtunkhwa","11SF
/
1M","31SF","","12 police personnel were killed and 31 injured in an ambush and checkpost attack in Hangu. One militant was also killed.","https://arynews.tv/hangu-checkpost-attack-30-july-2026"
